fecha;referencia;descripcion;debito;credito;saldo;tipoMovimiento;indicadorCargoAbono;importe
13/09/2022 - 17:04;0590554513133;ABO TRASP A OTRAS CTAS CLAVENET   ;200000.00;200000.00;213.977,42;1602;Nota de Crédito;200.000,00
13/09/2022 - 13:17;0590595058693;ABO TRASP A OTRAS CTAS CLAVENET   ;39.64;39.64;13.977,42;1602;Nota de Crédito;39,64
13/09/2022 - 13:17;0590595031581;ABO TRASP A OTRAS CTAS CLAVENET   ;25.05;25.05;13.937,78;1602;Nota de Crédito;25,05
13/09/2022 - 13:12;0590594769130;ABO TRASP A OTRAS CTAS CLAVENET   ;21.94;21.94;13.912,73;1602;Nota de Crédito;21,94
13/09/2022 - 12:26;9569954502205;CARGO POR IGTF                    ;-3.29;-3.29;13.890,79;5699;Nota de Débito;-3,29
13/09/2022 - 12:26;0590554502205;TRASPASO OTRAS CTAS BDV EN LINEA  ;-164.40;-164.40;13.894,08;5602;Nota de Débito;-164,40
13/09/2022 - 12:18;5490191528305;ABO TRASP A OTRAS CTAS CLAVENET   ;508.00;508.00;14.058,48;1602;Nota de Crédito;508,00
13/09/2022 - 11:38;0590532314141;ABO TRASP A OTRAS CTAS CLAVENET   ;135.03;135.03;13.550,48;1602;Nota de Crédito;135,03
13/09/2022 - 11:28;5490131689697;ABO TRASP A OTRAS CTAS CLAVENET   ;425.14;425.14;13.415,45;1602;Nota de Crédito;425,14
13/09/2022 - 10:40;0590554495809;ABO TRASP A OTRAS CTAS CLAVENET   ;1569.04;1569.04;12.990,31;1602;Nota de Crédito;1.569,04
13/09/2022 - 10:37;0590554495602;ABO TRASP A OTRAS CTAS CLAVENET   ;3200.00;3200.00;11.421,27;1602;Nota de Crédito;3.200,00
13/09/2022 - 09:51;0590525907938;ABO TRASP A OTRAS CTAS CLAVENET   ;31.68;31.68;8.221,27;1602;Nota de Crédito;31,68
13/09/2022 - 09:12;5490123555849;ABO TRASP A OTRAS CTAS CLAVENET   ;885.92;885.92;8.189,59;1602;Nota de Crédito;885,92
13/09/2022 - 08:57;0590522663351;ABO TRASP A OTRAS CTAS CLAVENET   ;479.00;479.00;7.303,67;1602;Nota de Crédito;479,00
12/09/2022 - 17:20;9569900064744;CARGO POR IGTF                    ;-8.00;-8.00;6.824,67;5699;Nota de Débito;-8,00
12/09/2022 - 17:20;0676200064744;COMISION PAGO A PROVEEDORES       ;-400.00;-400.00;6.832,67;7931;Nota de Débito;-400,00
